ASSERTION	AAEDAAECAQAAAAAAAECfQA==
ASSERTION	AAEDAAEBAQAAAAAAAIizQA==
ASSERTION	AAECAAIBAAAAAAAAAPA/
RUN	parabank.LoginTest	logintest	1759980590411	 	3.3.1
USER	Login Test - Carga Pico	20	END	1759980593204	1759980593597
USER	Login Test - Carga Pico	24	START	1759980593600	1759980593600
USER	Login Test - Carga Normal	7	START	1759980593631	1759980593631
REQUEST	21		Login Request	1759980593309	1759980593654	OK	 
USER	Login Test - Carga Pico	21	END	1759980593308	1759980593656
USER	Login Test - Carga Pico	25	START	1759980593692	1759980593692
USER	Login Test - Carga Pico	26	START	1759980593774	1759980593774
REQUEST	6		Login Request	1759980593433	1759980593792	OK	 
USER	Login Test - Carga Normal	6	END	1759980593432	1759980593794
REQUEST	22		Login Request	1759980593404	1759980593802	OK	 
USER	Login Test - Carga Pico	22	END	1759980593404	1759980593803
USER	Login Test - Carga Normal	8	START	1759980593831	1759980593831
USER	Login Test - Carga Pico	27	START	1759980593864	1759980593864
REQUEST	23		Login Request	1759980593495	1759980593869	OK	 
USER	Login Test - Carga Pico	23	END	1759980593494	1759980593871
REQUEST	24		Login Request	1759980593601	1759980593937	OK	 
USER	Login Test - Carga Pico	24	END	1759980593600	1759980593939
USER	Login Test - Carga Pico	28	START	1759980593954	1759980593954
REQUEST	7		Login Request	1759980593633	1759980593970	OK	 
USER	Login Test - Carga Normal	7	END	1759980593631	1759980593971
USER	Login Test - Carga Normal	9	START	1759980594031	1759980594031
USER	Login Test - Carga Pico	29	START	1759980594046	1759980594046
REQUEST	26		Login Request	1759980593774	1759980594072	OK	 
USER	Login Test - Carga Pico	26	END	1759980593774	1759980594074
REQUEST	25		Login Request	1759980593694	1759980594085	OK	 
USER	Login Test - Carga Pico	25	END	1759980593692	1759980594086
REQUEST	8		Login Request	1759980593833	1759980594121	OK	 
USER	Login Test - Carga Normal	8	END	1759980593831	1759980594123
USER	Login Test - Carga Pico	30	START	1759980594138	1759980594138
REQUEST	27		Login Request	1759980593865	1759980594215	OK	 
USER	Login Test - Carga Pico	27	END	1759980593864	1759980594217
USER	Login Test - Carga Normal	10	START	1759980594231	1759980594231
USER	Login Test - Carga Pico	31	START	1759980594231	1759980594231
REQUEST	28		Login Request	1759980593955	1759980594296	OK	 
USER	Login Test - Carga Pico	28	END	1759980593954	1759980594297
USER	Login Test - Carga Pico	32	START	1759980594323	1759980594323
REQUEST	9		Login Request	1759980594033	1759980594364	OK	 
USER	Login Test - Carga Normal	9	END	1759980594031	1759980594366
USER	Login Test - Carga Pico	33	START	1759980594404	1759980594404
REQUEST	30		Login Request	1759980594139	1759980594424	OK	 
USER	Login Test - Carga Pico	30	END	1759980594138	1759980594425
USER	Login Test - Carga Normal	11	START	1759980594432	1759980594432
REQUEST	29		Login Request	1759980594047	1759980594438	OK	 
USER	Login Test - Carga Pico	29	END	1759980594046	1759980594439
USER	Login Test - Carga Pico	40	START	1759980594493	1759980594493
REQUEST	10		Login Request	1759980594233	1759980594513	OK	 
USER	Login Test - Carga Normal	10	END	1759980594231	1759980594514
USER	Login Test - Carga Normal	34	START	1759980594571	1759980594571
USER	Login Test - Carga Pico	41	START	1759980594574	1759980594574
REQUEST	31		Login Request	1759980594233	1759980594623	OK	 
USER	Login Test - Carga Pico	31	END	1759980594231	1759980594624
REQUEST	32		Login Request	1759980594324	1759980594660	OK	 
USER	Login Test - Carga Pico	32	END	1759980594323	1759980594661
USER	Login Test - Carga Pico	42	START	1759980594664	1759980594664
REQUEST	33		Login Request	1759980594404	1759980594696	OK	 
USER	Login Test - Carga Pico	33	END	1759980594404	1759980594698
USER	Login Test - Carga Normal	35	START	1759980594740	1759980594740
USER	Login Test - Carga Pico	43	START	1759980594772	1759980594772
REQUEST	40		Login Request	1759980594495	1759980594805	OK	 
USER	Login Test - Carga Pico	40	END	1759980594493	1759980594806
REQUEST	11		Login Request	1759980594433	1759980594827	OK	 
USER	Login Test - Carga Normal	11	END	1759980594432	1759980594828
REQUEST	34		Login Request	1759980594572	1759980594855	OK	 
USER	Login Test - Carga Normal	34	END	1759980594571	1759980594856
USER	Login Test - Carga Pico	44	START	1759980594865	1759980594865
USER	Login Test - Carga Normal	36	START	1759980594895	1759980594895
REQUEST	41		Login Request	1759980594575	1759980594910	OK	 
USER	Login Test - Carga Pico	41	END	1759980594574	1759980594913
USER	Login Test - Carga Pico	45	START	1759980594944	1759980594944
REQUEST	42		Login Request	1759980594666	1759980595017	OK	 
USER	Login Test - Carga Pico	42	END	1759980594664	1759980595018
REQUEST	35		Login Request	1759980594742	1759980595033	OK	 
USER	Login Test - Carga Normal	35	END	1759980594740	1759980595034
USER	Login Test - Carga Pico	46	START	1759980595035	1759980595035
USER	Login Test - Carga Normal	37	START	1759980595067	1759980595067
REQUEST	43		Login Request	1759980594774	1759980595074	OK	 
USER	Login Test - Carga Pico	43	END	1759980594772	1759980595075
USER	Login Test - Carga Pico	47	START	1759980595128	1759980595128
REQUEST	44		Login Request	1759980594866	1759980595210	OK	 
USER	Login Test - Carga Pico	44	END	1759980594865	1759980595212
USER	Login Test - Carga Pico	48	START	1759980595242	1759980595242
USER	Login Test - Carga Normal	38	START	1759980595242	1759980595242
REQUEST	36		Login Request	1759980594896	1759980595275	OK	 
USER	Login Test - Carga Normal	36	END	1759980594895	1759980595277
USER	Login Test - Carga Pico	49	START	1759980595327	1759980595327
REQUEST	45		Login Request	1759980594945	1759980595329	OK	 
USER	Login Test - Carga Pico	45	END	1759980594944	1759980595331
REQUEST	46		Login Request	1759980595036	1759980595337	OK	 
USER	Login Test - Carga Pico	46	END	1759980595035	1759980595338
USER	Login Test - Carga Normal	39	START	1759980595394	1759980595394
REQUEST	37		Login Request	1759980595068	1759980595414	OK	 
USER	Login Test - Carga Normal	37	END	1759980595067	1759980595415
USER	Login Test - Carga Pico	50	START	1759980595421	1759980595421
REQUEST	47		Login Request	1759980595130	1759980595487	OK	 
USER	Login Test - Carga Pico	47	END	1759980595128	1759980595489
USER	Login Test - Carga Pico	57	START	1759980595498	1759980595498
USER	Login Test - Carga Pico	58	START	1759980595576	1759980595576
REQUEST	48		Login Request	1759980595243	1759980595583	OK	 
USER	Login Test - Carga Pico	48	END	1759980595242	1759980595584
USER	Login Test - Carga Normal	51	START	1759980595589	1759980595589
REQUEST	38		Login Request	1759980595243	1759980595599	OK	 
USER	Login Test - Carga Normal	38	END	1759980595242	1759980595600
USER	Login Test - Carga Pico	59	START	1759980595665	1759980595665
REQUEST	49		Login Request	1759980595329	1759980595669	OK	 
USER	Login Test - Carga Pico	49	END	1759980595327	1759980595671
REQUEST	39		Login Request	1759980595394	1759980595743	OK	 
USER	Login Test - Carga Pico	60	START	1759980595744	1759980595744
USER	Login Test - Carga Normal	52	START	1759980595744	1759980595744
USER	Login Test - Carga Normal	39	END	1759980595394	1759980595745
REQUEST	50		Login Request	1759980595422	1759980595759	OK	 
USER	Login Test - Carga Pico	50	END	1759980595421	1759980595760
USER	Login Test - Carga Pico	61	START	1759980595833	1759980595833
REQUEST	57		Login Request	1759980595499	1759980595880	OK	 
USER	Login Test - Carga Pico	57	END	1759980595498	1759980595882
REQUEST	51		Login Request	1759980595590	1759980595885	OK	 
USER	Login Test - Carga Normal	51	END	1759980595589	1759980595886
USER	Login Test - Carga Pico	62	START	1759980595914	1759980595914
USER	Login Test - Carga Normal	53	START	1759980595914	1759980595914
REQUEST	58		Login Request	1759980595577	1759980595921	OK	 
USER	Login Test - Carga Pico	58	END	1759980595576	1759980595923
REQUEST	59		Login Request	1759980595666	1759980596001	OK	 
USER	Login Test - Carga Pico	59	END	1759980595665	1759980596003
USER	Login Test - Carga Pico	63	START	1759980596004	1759980596004
USER	Login Test - Carga Pico	64	START	1759980596079	1759980596079
REQUEST	60		Login Request	1759980595745	1759980596081	OK	 
USER	Login Test - Carga Pico	60	END	1759980595744	1759980596082
USER	Login Test - Carga Normal	54	START	1759980596084	1759980596084
REQUEST	52		Login Request	1759980595745	1759980596091	OK	 
USER	Login Test - Carga Normal	52	END	1759980595744	1759980596092
USER	Login Test - Carga Pico	65	START	1759980596172	1759980596172
REQUEST	61		Login Request	1759980595835	1759980596187	OK	 
USER	Login Test - Carga Pico	61	END	1759980595833	1759980596188
USER	Login Test - Carga Normal	55	START	1759980596250	1759980596250
USER	Login Test - Carga Pico	66	START	1759980596250	1759980596250
REQUEST	62		Login Request	1759980595915	1759980596254	OK	 
USER	Login Test - Carga Pico	62	END	1759980595914	1759980596256
REQUEST	53		Login Request	1759980595915	1759980596310	OK	 
USER	Login Test - Carga Normal	53	END	1759980595914	1759980596311
USER	Login Test - Carga Pico	67	START	1759980596327	1759980596327
REQUEST	63		Login Request	1759980596006	1759980596336	OK	 
USER	Login Test - Carga Pico	63	END	1759980596004	1759980596337
REQUEST	54		Login Request	1759980596085	1759980596386	OK	 
USER	Login Test - Carga Normal	54	END	1759980596084	1759980596387
USER	Login Test - Carga Pico	68	START	1759980596420	1759980596420
USER	Login Test - Carga Normal	56	START	1759980596420	1759980596420
REQUEST	64		Login Request	1759980596081	1759980596476	OK	 
USER	Login Test - Carga Pico	64	END	1759980596079	1759980596478
USER	Login Test - Carga Pico	76	START	1759980596484	1759980596484
USER	Login Test - Carga Normal	69	START	1759980596544	1759980596544
REQUEST	65		Login Request	1759980596174	1759980596557	OK	 
USER	Login Test - Carga Pico	65	END	1759980596172	1759980596558
REQUEST	66		Login Request	1759980596251	1759980596559	OK	 
USER	Login Test - Carga Pico	66	END	1759980596250	1759980596561
USER	Login Test - Carga Pico	77	START	1759980596564	1759980596564
REQUEST	55		Login Request	1759980596251	1759980596603	OK	 
USER	Login Test - Carga Normal	55	END	1759980596250	1759980596604
REQUEST	67		Login Request	1759980596329	1759980596619	OK	 
USER	Login Test - Carga Pico	67	END	1759980596327	1759980596620
USER	Login Test - Carga Pico	78	START	1759980596651	1759980596651
USER	Login Test - Carga Normal	70	START	1759980596684	1759980596684
REQUEST	68		Login Request	1759980596421	1759980596696	OK	 
USER	Login Test - Carga Pico	68	END	1759980596420	1759980596698
USER	Login Test - Carga Pico	79	START	1759980596743	1759980596743
REQUEST	56		Login Request	1759980596421	1759980596751	OK	 
USER	Login Test - Carga Normal	56	END	1759980596420	1759980596752
REQUEST	76		Login Request	1759980596484	1759980596817	OK	 
USER	Login Test - Carga Pico	76	END	1759980596484	1759980596818
USER	Login Test - Carga Pico	80	START	1759980596820	1759980596820
USER	Login Test - Carga Normal	71	START	1759980596824	1759980596824
REQUEST	69		Login Request	1759980596545	1759980596886	OK	 
USER	Login Test - Carga Normal	69	END	1759980596544	1759980596887
USER	Login Test - Carga Pico	81	START	1759980596898	1759980596898
REQUEST	77		Login Request	1759980596564	1759980596921	OK	 
USER	Login Test - Carga Pico	77	END	1759980596564	1759980596922
USER	Login Test - Carga Normal	72	START	1759980596974	1759980596974
USER	Login Test - Carga Pico	82	START	1759980596991	1759980596991
REQUEST	78		Login Request	1759980596652	1759980596999	OK	 
USER	Login Test - Carga Pico	78	END	1759980596651	1759980597000
REQUEST	70		Login Request	1759980596684	1759980597028	OK	 
USER	Login Test - Carga Normal	70	END	1759980596684	1759980597029
REQUEST	79		Login Request	1759980596744	1759980597054	OK	 
USER	Login Test - Carga Pico	79	END	1759980596743	1759980597055
USER	Login Test - Carga Pico	83	START	1759980597067	1759980597067
USER	Login Test - Carga Normal	73	START	1759980597115	1759980597115
USER	Login Test - Carga Pico	84	START	1759980597145	1759980597145
REQUEST	71		Login Request	1759980596825	1759980597171	OK	 
USER	Login Test - Carga Normal	71	END	1759980596824	1759980597172
REQUEST	80		Login Request	1759980596821	1759980597210	OK	 
USER	Login Test - Carga Pico	80	END	1759980596820	1759980597211
USER	Login Test - Carga Pico	85	START	1759980597239	1759980597239
USER	Login Test - Carga Normal	74	START	1759980597269	1759980597269
REQUEST	81		Login Request	1759980596899	1759980597290	OK	 
USER	Login Test - Carga Pico	81	END	1759980596898	1759980597291
USER	Login Test - Carga Pico	86	START	1759980597315	1759980597315
REQUEST	72		Login Request	1759980596976	1759980597321	OK	 
USER	Login Test - Carga Normal	72	END	1759980596974	1759980597322
USER	Login Test - Carga Pico	87	START	1759980597394	1759980597394
USER	Login Test - Carga Normal	75	START	1759980597408	1759980597408
REQUEST	82		Login Request	1759980596992	1759980597439	OK	 
USER	Login Test - Carga Pico	82	END	1759980596991	1759980597441
REQUEST	73		Login Request	1759980597116	1759980597447	OK	 
USER	Login Test - Carga Normal	73	END	1759980597115	1759980597448
REQUEST	83		Login Request	1759980597068	1759980597453	OK	 
USER	Login Test - Carga Pico	83	END	1759980597067	1759980597453
REQUEST	84		Login Request	1759980597147	1759980597479	OK	 
USER	Login Test - Carga Pico	84	END	1759980597145	1759980597480
USER	Login Test - Carga Pico	95	START	1759980597484	1759980597484
REQUEST	85		Login Request	1759980597240	1759980597536	OK	 
USER	Login Test - Carga Pico	85	END	1759980597239	1759980597538
USER	Login Test - Carga Normal	88	START	1759980597562	1759980597562
USER	Login Test - Carga Pico	96	START	1759980597564	1759980597564
REQUEST	74		Login Request	1759980597270	1759980597610	OK	 
USER	Login Test - Carga Normal	74	END	1759980597269	1759980597611
USER	Login Test - Carga Pico	97	START	1759980597644	1759980597644
USER	Login Test - Carga Normal	89	START	1759980597703	1759980597703
REQUEST	86		Login Request	1759980597316	1759980597711	OK	 
USER	Login Test - Carga Pico	86	END	1759980597315	1759980597712
USER	Login Test - Carga Pico	98	START	1759980597720	1759980597720
REQUEST	75		Login Request	1759980597409	1759980597746	OK	 
USER	Login Test - Carga Normal	75	END	1759980597408	1759980597748
USER	Login Test - Carga Pico	99	START	1759980597797	1759980597797
REQUEST	95		Login Request	1759980597486	1759980597824	OK	 
USER	Login Test - Carga Pico	95	END	1759980597484	1759980597825
USER	Login Test - Carga Normal	90	START	1759980597845	1759980597845
REQUEST	96		Login Request	1759980597564	1759980597860	OK	 
USER	Login Test - Carga Pico	96	END	1759980597564	1759980597861
USER	Login Test - Carga Pico	100	START	1759980597876	1759980597876
USER	Login Test - Carga Pico	101	START	1759980597952	1759980597952
REQUEST	88		Login Request	1759980597564	1759980597956	OK	 
USER	Login Test - Carga Normal	88	END	1759980597562	1759980597957
USER	Login Test - Carga Normal	91	START	1759980597984	1759980597984
USER	Login Test - Carga Pico	102	START	1759980598031	1759980598031
REQUEST	89		Login Request	1759980597705	1759980598043	OK	 
USER	Login Test - Carga Normal	89	END	1759980597703	1759980598044
REQUEST	98		Login Request	1759980597721	1759980598067	OK	 
USER	Login Test - Carga Pico	98	END	1759980597720	1759980598068
REQUEST	87		Login Request	1759980597394	1759980598079	OK	 
USER	Login Test - Carga Pico	87	END	1759980597394	1759980598081
USER	Login Test - Carga Pico	103	START	1759980598107	1759980598107
USER	Login Test - Carga Normal	92	START	1759980598124	1759980598124
REQUEST	99		Login Request	1759980597798	1759980598128	OK	 
USER	Login Test - Carga Pico	99	END	1759980597797	1759980598129
REQUEST	90		Login Request	1759980597846	1759980598177	OK	 
USER	Login Test - Carga Normal	90	END	1759980597845	1759980598178
USER	Login Test - Carga Pico	104	START	1759980598184	1759980598184
REQUEST	97		Login Request	1759980597644	1759980598195	OK	 
USER	Login Test - Carga Pico	97	END	1759980597644	1759980598196
REQUEST	100		Login Request	1759980597877	1759980598229	OK	 
USER	Login Test - Carga Pico	100	END	1759980597876	1759980598231
USER	Login Test - Carga Pico	105	START	1759980598262	1759980598262
USER	Login Test - Carga Normal	93	START	1759980598264	1759980598264
REQUEST	91		Login Request	1759980597985	1759980598267	OK	 
USER	Login Test - Carga Normal	91	END	1759980597984	1759980598268
REQUEST	102		Login Request	1759980598032	1759980598328	OK	 
USER	Login Test - Carga Pico	102	END	1759980598031	1759980598329
USER	Login Test - Carga Pico	106	START	1759980598338	1759980598338
REQUEST	101		Login Request	1759980597954	1759980598356	OK	 
USER	Login Test - Carga Pico	101	END	1759980597952	1759980598357
REQUEST	103		Login Request	1759980598108	1759980598400	OK	 
USER	Login Test - Carga Pico	103	END	1759980598107	1759980598402
USER	Login Test - Carga Pico	107	START	1759980598415	1759980598415
USER	Login Test - Carga Normal	94	START	1759980598415	1759980598415
REQUEST	104		Login Request	1759980598185	1759980598465	OK	 
USER	Login Test - Carga Pico	104	END	1759980598184	1759980598466
USER	Login Test - Carga Pico	115	START	1759980598494	1759980598494
REQUEST	92		Login Request	1759980598124	1759980598501	OK	 
USER	Login Test - Carga Normal	92	END	1759980598124	1759980598502
REQUEST	93		Login Request	1759980598265	1759980598556	OK	 
REQUEST	105		Login Request	1759980598263	1759980598556	OK	 
USER	Login Test - Carga Normal	108	START	1759980598555	1759980598555
USER	Login Test - Carga Normal	93	END	1759980598264	1759980598557
USER	Login Test - Carga Pico	105	END	1759980598262	1759980598557
USER	Login Test - Carga Pico	116	START	1759980598570	1759980598570
REQUEST	106		Login Request	1759980598339	1759980598634	OK	 
USER	Login Test - Carga Pico	106	END	1759980598338	1759980598635
USER	Login Test - Carga Pico	117	START	1759980598646	1759980598646
USER	Login Test - Carga Normal	109	START	1759980598707	1759980598707
REQUEST	94		Login Request	1759980598416	1759980598713	OK	 
USER	Login Test - Carga Normal	94	END	1759980598415	1759980598714
USER	Login Test - Carga Pico	118	START	1759980598724	1759980598724
REQUEST	107		Login Request	1759980598416	1759980598752	OK	 
USER	Login Test - Carga Pico	107	END	1759980598415	1759980598753
USER	Login Test - Carga Pico	119	START	1759980598799	1759980598799
REQUEST	108		Login Request	1759980598556	1759980598842	OK	 
USER	Login Test - Carga Normal	108	END	1759980598555	1759980598843
USER	Login Test - Carga Normal	110	START	1759980598847	1759980598847
REQUEST	115		Login Request	1759980598495	1759980598873	OK	 
USER	Login Test - Carga Pico	115	END	1759980598494	1759980598874
USER	Login Test - Carga Pico	120	START	1759980598878	1759980598878
REQUEST	116		Login Request	1759980598571	1759980598903	OK	 
USER	Login Test - Carga Pico	116	END	1759980598570	1759980598903
USER	Login Test - Carga Pico	121	START	1759980598954	1759980598954
REQUEST	109		Login Request	1759980598708	1759980598981	OK	 
USER	Login Test - Carga Normal	109	END	1759980598707	1759980598981
USER	Login Test - Carga Normal	111	START	1759980598984	1759980598984
REQUEST	117		Login Request	1759980598648	1759980598990	OK	 
USER	Login Test - Carga Pico	117	END	1759980598646	1759980598991
USER	Login Test - Carga Pico	122	START	1759980599034	1759980599034
USER	Login Test - Carga Pico	123	START	1759980599109	1759980599109
USER	Login Test - Carga Normal	112	START	1759980599124	1759980599124
USER	Login Test - Carga Pico	124	START	1759980599187	1759980599187
REQUEST	110		Login Request	1759980598848	1759980599190	OK	 
USER	Login Test - Carga Normal	110	END	1759980598847	1759980599191
REQUEST	120		Login Request	1759980598879	1759980599219	OK	 
USER	Login Test - Carga Pico	120	END	1759980598878	1759980599221
REQUEST	118		Login Request	1759980598725	1759980599259	OK	 
USER	Login Test - Carga Pico	118	END	1759980598724	1759980599260
USER	Login Test - Carga Pico	125	START	1759980599264	1759980599264
USER	Login Test - Carga Normal	113	START	1759980599279	1759980599279
REQUEST	121		Login Request	1759980598955	1759980599307	OK	 
USER	Login Test - Carga Pico	121	END	1759980598954	1759980599308
REQUEST	111		Login Request	1759980598985	1759980599318	OK	 
USER	Login Test - Carga Normal	111	END	1759980598984	1759980599320
REQUEST	119		Login Request	1759980598800	1759980599326	OK	 
USER	Login Test - Carga Pico	119	END	1759980598799	1759980599328
USER	Login Test - Carga Pico	126	START	1759980599342	1759980599342
REQUEST	122		Login Request	1759980599034	1759980599408	OK	 
USER	Login Test - Carga Pico	122	END	1759980599034	1759980599409
USER	Login Test - Carga Normal	114	START	1759980599420	1759980599420
USER	Login Test - Carga Pico	127	START	1759980599420	1759980599420
USER	Login Test - Carga Pico	135	START	1759980599484	1759980599484
REQUEST	123		Login Request	1759980599110	1759980599487	OK	 
USER	Login Test - Carga Pico	123	END	1759980599109	1759980599488
REQUEST	112		Login Request	1759980599126	1759980599500	OK	 
USER	Login Test - Carga Normal	112	END	1759980599124	1759980599502
REQUEST	124		Login Request	1759980599188	1759980599527	OK	 
USER	Login Test - Carga Pico	124	END	1759980599187	1759980599528
USER	Login Test - Carga Pico	136	START	1759980599559	1759980599559
USER	Login Test - Carga Normal	128	START	1759980599559	1759980599559
REQUEST	113		Login Request	1759980599281	1759980599579	OK	 
USER	Login Test - Carga Normal	113	END	1759980599279	1759980599580
REQUEST	125		Login Request	1759980599265	1759980599596	OK	 
USER	Login Test - Carga Pico	125	END	1759980599264	1759980599597
USER	Login Test - Carga Pico	137	START	1759980599637	1759980599637
REQUEST	127		Login Request	1759980599422	1759980599705	OK	 
USER	Login Test - Carga Pico	127	END	1759980599420	1759980599706
USER	Login Test - Carga Normal	129	START	1759980599714	1759980599714
USER	Login Test - Carga Pico	138	START	1759980599714	1759980599714
USER	Login Test - Carga Pico	139	START	1759980599775	1759980599775
REQUEST	135		Login Request	1759980599485	1759980599776	OK	 
USER	Login Test - Carga Pico	135	END	1759980599484	1759980599778
REQUEST	114		Login Request	1759980599422	1759980599801	OK	 
USER	Login Test - Carga Normal	114	END	1759980599420	1759980599802
REQUEST	136		Login Request	1759980599560	1759980599850	OK	 
USER	Login Test - Carga Pico	136	END	1759980599559	1759980599851
USER	Login Test - Carga Pico	140	START	1759980599853	1759980599853
USER	Login Test - Carga Normal	130	START	1759980599853	1759980599853
USER	Login Test - Carga Pico	141	START	1759980599915	1759980599915
REQUEST	128		Login Request	1759980599560	1759980599948	OK	 
USER	Login Test - Carga Normal	128	END	1759980599559	1759980599949
USER	Login Test - Carga Normal	131	START	1759980599993	1759980599993
USER	Login Test - Carga Pico	142	START	1759980599993	1759980599993
REQUEST	138		Login Request	1759980599715	1759980600011	OK	 
USER	Login Test - Carga Pico	138	END	1759980599714	1759980600012
REQUEST	126		Login Request	1759980599343	1759980600032	OK	 
USER	Login Test - Carga Pico	126	END	1759980599342	1759980600033
REQUEST	129		Login Request	1759980599715	1759980600050	OK	 
USER	Login Test - Carga Normal	129	END	1759980599714	1759980600051
USER	Login Test - Carga Pico	143	START	1759980600054	1759980600054
REQUEST	139		Login Request	1759980599776	1759980600059	OK	 
USER	Login Test - Carga Pico	139	END	1759980599775	1759980600060
USER	Login Test - Carga Normal	132	START	1759980600134	1759980600134
USER	Login Test - Carga Pico	144	START	1759980600134	1759980600134
REQUEST	130		Login Request	1759980599853	1759980600136	OK	 
USER	Login Test - Carga Normal	130	END	1759980599853	1759980600137
REQUEST	140		Login Request	1759980599853	1759980600179	OK	 
USER	Login Test - Carga Pico	140	END	1759980599853	1759980600181
USER	Login Test - Carga Pico	145	START	1759980600209	1759980600209
REQUEST	141		Login Request	1759980599916	1759980600246	OK	 
USER	Login Test - Carga Pico	141	END	1759980599915	1759980600247
REQUEST	137		Login Request	1759980599639	1759980600271	OK	 
USER	Login Test - Carga Pico	137	END	1759980599637	1759980600273
USER	Login Test - Carga Normal	133	START	1759980600274	1759980600274
USER	Login Test - Carga Pico	146	START	1759980600274	1759980600274
REQUEST	142		Login Request	1759980599994	1759980600344	OK	 
REQUEST	131		Login Request	1759980599994	1759980600344	OK	 
USER	Login Test - Carga Pico	142	END	1759980599993	1759980600345
USER	Login Test - Carga Normal	131	END	1759980599993	1759980600345
USER	Login Test - Carga Pico	147	START	1759980600349	1759980600349
USER	Login Test - Carga Pico	148	START	1759980600414	1759980600414
USER	Login Test - Carga Normal	134	START	1759980600414	1759980600414
REQUEST	143		Login Request	1759980600055	1759980600441	OK	 
USER	Login Test - Carga Pico	143	END	1759980600054	1759980600443
REQUEST	132		Login Request	1759980600134	1759980600483	OK	 
USER	Login Test - Carga Normal	132	END	1759980600134	1759980600483
USER	Login Test - Carga Pico	157	START	1759980600488	1759980600488
REQUEST	144		Login Request	1759980600134	1759980600518	OK	 
USER	Login Test - Carga Pico	144	END	1759980600134	1759980600519
USER	Login Test - Carga Normal	149	START	1759980600536	1759980600536
REQUEST	145		Login Request	1759980600210	1759980600550	OK	 
USER	Login Test - Carga Pico	145	END	1759980600209	1759980600551
USER	Login Test - Carga Pico	158	START	1759980600554	1759980600554
REQUEST	146		Login Request	1759980600274	1759980600613	OK	 
USER	Login Test - Carga Pico	146	END	1759980600274	1759980600614
USER	Login Test - Carga Pico	159	START	1759980600628	1759980600628
REQUEST	147		Login Request	1759980600350	1759980600639	OK	 
USER	Login Test - Carga Pico	147	END	1759980600349	1759980600640
REQUEST	133		Login Request	1759980600274	1759980600663	OK	 
USER	Login Test - Carga Normal	133	END	1759980600274	1759980600664
USER	Login Test - Carga Normal	150	START	1759980600664	1759980600664
USER	Login Test - Carga Pico	160	START	1759980600694	1759980600694
REQUEST	148		Login Request	1759980600414	1759980600750	OK	 
USER	Login Test - Carga Pico	148	END	1759980600414	1759980600751
