ASSERTION	AAEEAgAAAAAAAMBiQA==
ASSERTION	AAECAAMCAAAAAAAAwFdA
ASSERTION	AAECAAIBAAAAAAAAABRA
RUN	parabank.TransferTest	transfertest	1760280492913	 	3.3.1
USER	Transferencias simultaneas válidas	101	START	1760280495249	1760280495249
USER	Transferencias simultaneas válidas	100	START	1760280495248	1760280495248
REQUEST	38		Transferencia	1760280494796	1760280495251	OK	 
USER	Transferencias simultaneas válidas	38	END	1760280494795	1760280495251
REQUEST	64		Transferencia	1760280494984	1760280495251	OK	 
REQUEST	17		Transferencia	1760280494596	1760280495251	OK	 
USER	Transferencias simultaneas válidas	64	END	1760280494983	1760280495252
USER	Transferencias simultaneas válidas	17	END	1760280494595	1760280495252
REQUEST	69		Transferencia	1760280495015	1760280495261	OK	 
USER	Transferencias simultaneas válidas	69	END	1760280495014	1760280495261
USER	Transferencias simultaneas válidas	104	START	1760280495265	1760280495265
USER	Transferencias simultaneas válidas	103	START	1760280495265	1760280495265
USER	Transferencias simultaneas válidas	102	START	1760280495265	1760280495265
REQUEST	53		Transferencia	1760280494905	1760280495266	OK	 
USER	Transferencias simultaneas válidas	53	END	1760280494904	1760280495267
REQUEST	19		Transferencia	1760280494634	1760280495272	OK	 
USER	Transferencias simultaneas válidas	19	END	1760280494632	1760280495273
USER	Transferencias simultaneas válidas	105	START	1760280495281	1760280495281
USER	Transferencias simultaneas válidas	106	START	1760280495281	1760280495281
USER	Transferencias simultaneas válidas	107	START	1760280495282	1760280495282
USER	Transferencias simultaneas válidas	108	START	1760280495282	1760280495282
REQUEST	4		Transferencia	1760280494554	1760280495285	OK	 
USER	Transferencias simultaneas válidas	4	END	1760280494527	1760280495286
USER	Transferencias simultaneas válidas	109	START	1760280495297	1760280495297
USER	Transferencias simultaneas válidas	110	START	1760280495297	1760280495297
REQUEST	12		Transferencia	1760280494565	1760280495300	OK	 
USER	Transferencias simultaneas válidas	12	END	1760280494562	1760280495301
REQUEST	39		Transferencia	1760280494812	1760280495305	OK	 
REQUEST	25		Transferencia	1760280494685	1760280495305	OK	 
USER	Transferencias simultaneas válidas	39	END	1760280494810	1760280495306
USER	Transferencias simultaneas válidas	25	END	1760280494683	1760280495306
REQUEST	54		Transferencia	1760280494905	1760280495306	OK	 
USER	Transferencias simultaneas válidas	54	END	1760280494904	1760280495307
REQUEST	71		Transferencia	1760280495062	1760280495308	OK	 
USER	Transferencias simultaneas válidas	71	END	1760280495061	1760280495309
USER	Transferencias simultaneas válidas	111	START	1760280495312	1760280495312
USER	Transferencias simultaneas válidas	112	START	1760280495312	1760280495312
REQUEST	70		Transferencia	1760280495030	1760280495315	OK	 
REQUEST	18		Transferencia	1760280494633	1760280495315	OK	 
USER	Transferencias simultaneas válidas	18	END	1760280494632	1760280495315
USER	Transferencias simultaneas válidas	70	END	1760280495029	1760280495315
REQUEST	56		Transferencia	1760280494922	1760280495324	OK	 
USER	Transferencias simultaneas válidas	56	END	1760280494921	1760280495325
REQUEST	5		Transferencia	1760280494555	1760280495330	OK	 
USER	Transferencias simultaneas válidas	5	END	1760280494543	1760280495330
USER	Transferencias simultaneas válidas	113	START	1760280495332	1760280495332
REQUEST	57		Transferencia	1760280494937	1760280495335	OK	 
USER	Transferencias simultaneas válidas	57	END	1760280494937	1760280495336
REQUEST	3		Transferencia	1760280494554	1760280495339	OK	 
USER	Transferencias simultaneas válidas	3	END	1760280494527	1760280495339
REQUEST	1		Transferencia	1760280494553	1760280495343	OK	 
