ASSERTION	AAEDAAECAQAAAAAAAHCnQA==
ASSERTION	AAEDAAEEAAAAAAAAwFdAAQAAAAAAAHCnQA==
ASSERTION	AAECAAIBAAAAAAAAAPA/
ASSERTION	AAEDAAEBAQAAAAAAAIizQA==
ASSERTION	AAECAAMCAAAAAAAAwFhA
RUN	parabank.AccountStatementsTest	accountstatementstest	1759981929683	 	3.3.1
REQUEST	35		Get Account Statement Request	1759981935645	1759981935799	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	35	END	1759981934078	1759981935801
REQUEST	42		Login Request	1759981935426	1759981935818	OK	 
REQUEST	49		Login Request	1759981935426	1759981935820	OK	 
USER	Account Statements Test - Carga Simultánea	51	START	1759981935830	1759981935830
REQUEST	31		Get Accounts Request	1759981935722	1759981935852	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	57	START	1759981935862	1759981935862
REQUEST	45		Get Accounts Request	1759981935727	1759981935877	OK	 
REQUEST	36		Get Account Statement Request	1759981935753	1759981935894	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	36	END	1759981934247	1759981935895
REQUEST	10		Get Account Statement Request	1759981935753	1759981935897	OK	 
USER	Account Statements Test - Carga Simultánea	10	END	1759981933241	1759981935898
REQUEST	55		Login Request	1759981935567	1759981935910	OK	 
REQUEST	44		Get Accounts Request	1759981935769	1759981935924	OK	 
REQUEST	50		Login Request	1759981935629	1759981935970	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	58	START	1759981936001	1759981936001
USER	Account Statements Test - Carga Simultánea	52	START	1759981936032	1759981936032
REQUEST	56		Login Request	1759981935707	1759981936043	OK	 
REQUEST	46		Get Accounts Request	1759981935893	1759981936052	OK	 
REQUEST	37		Get Account Statement Request	1759981935924	1759981936068	OK	 
REQUEST	47		Get Accounts Request	1759981935939	1759981936068	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	37	END	1759981934416	1759981936069
REQUEST	38		Get Accounts Request	1759981935954	1759981936096	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	59	START	1759981936139	1759981936139
REQUEST	11		Get Account Statement Request	1759981936032	1759981936186	OK	 
USER	Account Statements Test - Carga Simultánea	11	END	1759981933443	1759981936187
REQUEST	43		Get Account Statement Request	1759981936067	1759981936201	OK	 
REQUEST	48		Get Accounts Request	1759981936067	1759981936201	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	43	END	1759981934556	1759981936202
REQUEST	51		Login Request	1759981935832	1759981936217	OK	 
USER	Account Statements Test - Carga Simultánea	53	START	1759981936231	1759981936231
USER	Account Statements Test - 200 Usuarios Simultáneos	60	START	1759981936277	1759981936277
REQUEST	27		Get Account Statement Request	1759981936155	1759981936300	OK	 
USER	Account Statements Test - Carga Simultánea	27	END	1759981933616	1759981936301
REQUEST	58		Login Request	1759981936002	1759981936338	OK	 
REQUEST	57		Login Request	1759981935863	1759981936350	OK	 
REQUEST	52		Login Request	1759981936032	1759981936368	OK	 
REQUEST	39		Get Accounts Request	1759981936216	1759981936374	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	61	START	1759981936432	1759981936432
USER	Account Statements Test - Carga Simultánea	54	START	1759981936432	1759981936432
REQUEST	28		Get Account Statement Request	1759981936339	1759981936485	OK	 
USER	Account Statements Test - Carga Simultánea	28	END	1759981933817	1759981936486
REQUEST	49		Get Accounts Request	1759981936339	1759981936497	OK	 
REQUEST	40		Get Accounts Request	1759981936370	1759981936517	OK	 
REQUEST	59		Login Request	1759981936140	1759981936517	OK	 
REQUEST	45		Get Account Statement Request	1759981936386	1759981936533	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	45	END	1759981934836	1759981936534
REQUEST	53		Login Request	1759981936232	1759981936570	OK	 
REQUEST	44		Get Account Statement Request	1759981936418	1759981936573	OK	 
REQUEST	55		Get Accounts Request	1759981936432	1759981936573	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	44	END	1759981934696	1759981936574
REQUEST	29		Get Account Statement Request	1759981936466	1759981936599	OK	 
USER	Account Statements Test - Carga Simultánea	29	END	1759981934016	1759981936601
USER	Account Statements Test - 200 Usuarios Simultáneos	67	START	1759981936600	1759981936600
USER	Account Statements Test - Carga Simultánea	62	START	1759981936630	1759981936630
REQUEST	60		Login Request	1759981936278	1759981936657	OK	 
REQUEST	56		Get Accounts Request	1759981936556	1759981936699	OK	 
REQUEST	46		Get Account Statement Request	1759981936556	1759981936709	OK	 
USER	Account Statements Test - 200 Usuarios Simultáneos	46	END	1759981934989	1759981936711
REQUEST	54		Login Request	1759981936434	1759981936714	OK	 
REQUEST	47		Get Account Statement Request	1759981936585	1759981936718	OK	 
